date,iso_a3,country_number,currency_code,name,local_price,dollar_price,dollar_ex,usa_price,dollar_ex_implied,over_under_valued
2000-04-01,ARG,32,ARS,Argentina,2.5,2.5,1.0,2.24,1.1160714285714284,11.607142857142838
2000-04-01,AUS,36,AUD,Australia,2.59,1.54166666666667,1.68,2.24,1.1562499999999998,-31.175595238095244
2000-04-01,BRA,76,BRL,Brazil,2.95,1.64804469273743,1.79,2.24,1.3169642857142856,-26.426576217079024
2000-04-01,GBR,826,GBP,Britain,1.9,3.00200000192128,0.632911392,2.24,0.8482142857142856,34.01785722862856
2000-04-01,CAN,124,CAD,Canada,2.85,1.93877551020408,1.47,2.24,1.2723214285714284,-13.447521865889222
2000-04-01,CHL,152,CLP,Chile,1260.0,2.45136186770428,514.0,2.24,562.5,9.43579766536966
2000-04-01,CHN,156,CNY,China,9.9,1.19565217391304,8.28,2.24,4.419642857142857,-46.62267080745342
2000-04-01,CZE,203,CZK,Czech Republic,54.37,1.39053708439898,39.1,2.24,24.272321428571423,-37.922451589331395
2000-04-01,DNK,208,DKK,Denmark,24.75,3.07835820895522,8.04,2.24,11.049107142857142,37.42670575692966
2000-04-01,HKG,344,HKD,Hong Kong,10.2,1.30937098844673,7.79,2.24,4.553571428571428,-41.54593801577114
2000-04-01,HUN,348,HUF,Hungary,339.0,1.21505376344086,279.0,2.24,151.3392857142857,-45.75652841781874
2000-04-01,IDN,360,IDR,Indonesia,14500.0,1.82504719949654,7945.0,2.24,6473.214285714285,-18.524678593904532
2000-04-01,ISR,376,ILS,Israel,14.5,3.58024691358025,4.05,2.24,6.473214285714285,59.83245149911816
2000-04-01,JPN,392,JPY,Japan,294.0,2.77358490566038,106.0,2.24,131.25,23.820754716981128
2000-04-01,MYS,458,MYR,Malaysia,4.52,1.18947368421053,3.8,2.24,2.0178571428571423,-46.89849624060152
2000-04-01,MEX,484,MXN,Mexico,20.9,2.22104144527099,9.41,2.24,9.33035714285714,-0.8463640504023373
2000-04-01,NZL,554,NZD,New Zealand,3.4,1.69154228855721,2.01,2.24,1.5178571428571426,-24.484719260838673
2000-04-01,POL,616,PLN,Poland,5.5,1.27906976744186,4.3,2.24,2.455357142857143,-42.89867109634551
2000-04-01,RUS,643,RUB,Russia,39.5,1.3859649122807,28.5,2.24,17.63392857142857,-38.126566416040106
2000-04-01,SGP,702,SGD,Singapore,3.2,1.88235294117647,1.7,2.24,1.4285714285714286,-15.966386554621847
2000-04-01,ZAF,710,ZAR,South Africa,9.0,1.33928571428571,6.72,2.24,4.017857142857142,-40.21045918367348
2000-04-01,KOR,410,KRW,South Korea,3000.0,2.70758122743682,1108.0,2.24,1339.2857142857142,20.87416193914389
2000-04-01,SWE,752,SEK,Sweden,24.0,2.71493212669683,8.84,2.24,10.714285714285714,21.202327084680018
2000-04-01,CHE,756,CHF,Switzerland,5.9,3.47058823529412,1.7,2.24,2.633928571428571,54.93697478991595
2000-04-01,TWN,158,TWD,Taiwan,70.0,2.28758169934641,30.6,2.24,31.249999999999996,2.12418300653594
2000-04-01,THA,764,THB,Thailand,55.0,1.44736842105263,38.0,2.24,24.553571428571427,-35.38533834586467
2000-04-01,USA,840,USD,United States,2.24,2.24,1.0,2.24,1.0,-0.0
2001-04-01,ARG,32,ARS,Argentina,2.5,2.5,1.0,2.24,1.1160714285714284,11.607142857142838
2001-04-01,AUS,36,AUD,Australia,3.0,1.51515151515152,1.98,2.24,1.3392857142857142,-32.359307359307365
2001-04-01,BRA,76,BRL,Brazil,3.6,1.64383561643836,2.19,2.24,1.607142857142857,-26.614481409001968
2001-04-01,GBR,826,GBP,Britain,1.99,2.84570000122365,0.699300699,2.24,0.8883928571428571,27.040178626055834
2001-04-01,CAN,124,CAD,Canada,3.33,2.13461538461538,1.56,2.24,1.4866071428571428,-4.704670329670336
2001-04-01,CHL,152,CLP,Chile,1260.0,2.09650582362729,601.0,2.24,562.5,-6.40599001663894
2001-04-01,CHN,156,CNY,China,9.9,1.19565217391304,8.28,2.24,4.419642857142857,-46.62267080745342
2001-04-01,CZE,203,CZK,Czech Republic,56.0,1.43589743589744,39.0,2.24,24.999999999999996,-35.897435897435905
2001-04-01,DNK,208,DKK,Denmark,24.75,2.92553191489362,8.46,2.24,11.049107142857142,30.604103343465017
2001-04-01,HKG,344,HKD,Hong Kong,10.7,1.37179487179487,7.8,2.24,4.7767857142857135,-38.75915750915752
2001-04-01,HUN,348,HUF,Hungary,399.0,1.31683168316832,303.0,2.24,178.12499999999997,-41.21287128712873
2001-04-01,IDN,360,IDR,Indonesia,14700.0,1.35421464762782,10855.0,2.24,6562.499999999999,-39.543988945186555
2001-04-01,JPN,392,JPY,Japan,294.0,2.37096774193548,124.0,2.24,131.25,5.846774193548376
2001-04-01,MYS,458,MYR,Malaysia,4.52,1.18947368421053,3.8,2.24,2.0178571428571423,-46.89849624060152
2001-04-01,MEX,484,MXN,Mexico,21.9,2.35737351991389,9.29,2.24,9.776785714285714,5.239889281869914
2001-04-01,NZL,554,NZD,New Zealand,3.6,1.45748987854251,2.47,2.24,1.607142857142857,-34.93348756506652
2001-04-01,POL,616,PLN,Poland,5.9,1.46401985111663,4.03,2.24,2.633928571428571,-34.64197093229352
2001-04-01,RUS,643,RUB,Russia,35.0,1.21107266435986,28.9,2.24,15.624999999999998,-45.93425605536332
2001-04-01,SGP,702,SGD,Singapore,3.3,1.8232044198895,1.81,2.24,1.4732142857142856,-18.606945540647214
2001-04-01,ZAF,710,ZAR,South Africa,9.7,1.19311193111931,8.13,2.24,4.330357142857142,-46.73607450360219
2001-04-01,KOR,410,KRW,South Korea,3000.0,2.26415094339623,1325.0,2.24,1339.2857142857142,1.0781671159029615
2001-04-01,SWE,752,SEK,Sweden,24.0,2.33463035019455,10.28,2.24,10.714285714285714,4.224569205113959
2001-04-01,CHE,756,CHF,Switzerland,6.3,3.64161849710983,1.73,2.24,2.8124999999999996,62.572254335260105
2001-04-01,TWN,158,TWD,Taiwan,70.0,2.12765957446809,32.9,2.24,31.249999999999996,-5.015197568389063
2001-04-01,THA,764,THB,Thailand,55.0,1.20879120879121,45.5,2.24,24.553571428571427,-46.03610675039247
2001-04-01,USA,840,USD,United States,2.24,2.24,1.0,2.24,1.0,-0.0
2001-04-01,PHL,608,PHP,Philippines,59.0,1.17296222664016,50.3,2.24,26.33928571428571,-47.635614882135755
2002-04-01,ARG,32,ARS,Argentina,2.5,0.798722044728435,3.13,2.35,1.0638297872340425,-66.0118278838964
2002-04-01,AUS,36,AUD,Australia,3.0,1.61290322580645,1.86,2.35,1.276595744680851,-31.365820178448878
2002-04-01,BRA,76,BRL,Brazil,3.6,1.53846153846154,2.34,2.35,1.5319148936170213,-34.53355155482814
2002-04-01,GBR,826,GBP,Britain,1.99,2.8855000017313,0.689655172,2.35,0.8468085106382979,22.78723411622552
2002-04-01,CAN,124,CAD,Canada,3.33,2.12101910828025,1.57,2.35,1.4170212765957446,-9.743867732755119
2002-04-01,CHL,152,CLP,Chile,1400.0,2.13740458015267,655.0,2.35,595.7446808510638,-9.046613610524613
2002-04-01,CHN,156,CNY,China,10.5,1.26811594202899,8.28,2.35,4.468085106382978,-46.03761948812828
2002-04-01,CZE,203,CZK,Czech Republic,56.28,1.65529411764706,34.0,2.35,23.948936170212765,-29.561952440550687
2002-04-01,DNK,208,DKK,Denmark,24.75,2.95346062052506,8.38,2.35,10.53191489361702,25.679175341491888
2002-04-01,HKG,344,HKD,Hong Kong,11.2,1.4,8.0,2.35,4.76595744680851,-40.42553191489362
2002-04-01,HUN,348,HUF,Hungary,459.0,1.6875,272.0,2.35,195.3191489361702,-28.19148936170214
2002-04-01,IDN,360,IDR,Indonesia,16000.0,1.69671261930011,9430.0,2.35,6808.510638297872,-27.79946300850613
2002-04-01,ISR,376,ILS,Israel,12.0,2.50521920668058,4.79,2.35,5.106382978723404,6.60507262470571
2002-04-01,JPN,392,JPY,Japan,262.0,2.01538461538462,130.0,2.35,111.48936170212765,-14.238952536824879
2002-04-01,MYS,458,MYR,Malaysia,5.04,1.32631578947368,3.8,2.35,2.1446808510638298,-43.56103023516237
2002-04-01,MEX,484,MXN,Mexico,21.9,2.35991379310345,9.28,2.35,9.319148936170212,0.4218635363169465
2002-04-01,NZL,554,NZD,New Zealand,3.6,1.60714285714286,2.24,2.35,1.5319148936170213,-31.610942249240125
2002-04-01,POL,616,PLN,Poland,5.9,1.46039603960396,4.04,2.35,2.5106382978723403,-37.855487676427224
2002-04-01,RUS,643,RUB,Russia,39.0,1.25,31.2,2.35,16.595744680851062,-46.808510638297875
2002-04-01,SGP,702,SGD,Singapore,3.3,1.81318681318681,1.82,2.35,1.404255319148936,-22.843114332476045
2002-04-01,ZAF,710,ZAR,South Africa,9.7,0.889908256880734,10.9,2.35,4.127659574468085,-62.13156353699005
2002-04-01,KOR,410,KRW,South Korea,3100.0,2.37730061349693,1304.0,2.35,1319.1489361702127,1.1617282339120072
2002-04-01,SWE,752,SEK,Sweden,26.0,2.5,10.4,2.35,11.063829787234042,6.382978723404253
2002-04-01,CHE,756,CHF,Switzerland,6.3,3.79518072289157,1.66,2.35,2.680851063829787,61.497052037938985
2002-04-01,TWN,158,TWD,Taiwan,70.0,2.01149425287356,34.8,2.35,29.78723404255319,-14.404499877720712
2002-04-01,THA,764,THB,Thailand,55.0,1.270207852194,43.3,2.35,23.404255319148934,-45.94860203429807
2002-04-01,USA,840,USD,United States,2.35,2.35,1.0,2.35,1.0,-0.0
2002-04-01,PHL,608,PHP,Philippines,65.0,1.27450980392157,51.0,2.35,27.659574468085104,-45.76554025865666
2002-04-01,NOR,578,NOK,Norway,35.0,4.08878504672897,8.56,2.35,14.893617021276595,73.99085305229667
2002-04-01,PER,604,PEN,Peru,8.5,2.47813411078717,3.43,2.35,3.6170212765957444,5.452515352645593
2002-04-01,TUR,792,TRY,Turkey,4000000.0,3.02000755001888,1324500.0,2.35,1702127.659574468,28.510959575271254
2002-04-01,VEN,862,VEF,Venezuela,2500.0,2.9171528588098,857.0,2.35,1063.8297872340424,24.134164204672402
2003-04-01,ARG,32,ARS,Argentina,4.1,1.42361111111111,2.88,2.46,1.6666666666666665,-42.129629629629626
2003-04-01,AUS,36,AUD,Australia,3.0,1.86335403726708,1.61,2.46,1.2195121951219512,-24.25390092410241
2003-04-01,BRA,76,BRL,Brazil,4.55,1.48208469055375,3.07,2.46,1.8495934959349594,-39.75265485553878
2003-04-01,GBR,826,GBP,Britain,1.99,3.14420000201229,0.632911392,2.46,0.8089430894308943,27.813008211881616
2003-04-01,CAN,124,CAD,Canada,3.2,2.20689655172414,1.45,2.46,1.3008130081300815,-10.288758059994374
2003-04-01,CHL,152,CLP,Chile,1400.0,1.95530726256983,716.0,2.46,569.1056910569106,-20.51596493618567
2003-04-01,CHN,156,CNY,China,9.9,1.19565217391304,8.28,2.46,4.024390243902439,-51.396253092965715
2003-04-01,CZE,203,CZK,Czech Republic,56.57,1.95743944636678,28.9,2.46,22.995934959349594,-20.429290798098286
2003-04-01,DNK,208,DKK,Denmark,27.75,4.0929203539823,6.78,2.46,11.28048780487805,66.3788761781423
2003-04-01,HKG,344,HKD,Hong Kong,11.5,1.47435897435897,7.8,2.46,4.67479674796748,-40.06670835939129
2003-04-01,HUN,348,HUF,Hungary,490.0,2.1875,224.0,2.46,199.1869918699187,-11.077235772357719
2003-04-01,IDN,360,IDR,Indonesia,16100.0,1.84210526315789,8740.0,2.46,6544.715447154472,-25.11767222935387
2003-04-01,JPN,392,JPY,Japan,262.0,2.18333333333333,120.0,2.46,106.5040650406504,-11.246612466124661
2003-04-01,MYS,458,MYR,Malaysia,5.04,1.32631578947368,3.8,2.46,2.048780487804878,-46.08472400513478
2003-04-01,MEX,484,MXN,Mexico,23.0,2.18423551756885,10.53,2.46,9.34959349593496,-11.20993831020931
2003-04-01,NZL,554,NZD,New Zealand,3.95,2.21910112359551,1.78,2.46,1.6056910569105691,-9.792637252215219
2003-04-01,POL,616,PLN,Poland,6.3,1.61953727506427,3.89,2.46,2.5609756097560976,-34.16515142015173
2003-04-01,RUS,643,RUB,Russia,41.0,1.31832797427653,31.1,2.46,16.666666666666668,-46.40943193997856
2003-04-01,SGP,702,SGD,Singapore,3.3,1.85393258426966,1.78,2.46,1.3414634146341462,-24.63688681830639
2003-04-01,ZAF,710,ZAR,South Africa,13.95,1.8452380952381,7.56,2.46,5.670731707317073,-24.990321331784738
2003-04-01,KOR,410,KRW,South Korea,3300.0,2.70491803278689,1220.0,2.46,1341.4634146341464,9.956017592962807
2003-04-01,SWE,752,SEK,Sweden,30.0,3.59712230215827,8.34,2.46,12.195121951219512,46.224483827572094
2003-04-01,CHE,756,CHF,Switzerland,6.3,4.5985401459854,1.37,2.46,2.5609756097560976,86.93252625956916
2003-04-01,TWN,158,TWD,Taiwan,70.0,2.01149425287356,34.8,2.46,28.45528455284553,-18.231940940099044
2003-04-01,THA,764,THB,Thailand,59.0,1.38173302107728,42.7,2.46,23.983739837398375,-43.83199101311857
2003-04-01,USA,840,USD,United States,2.46,2.46,1.0,2.46,1.0,-0.0
2003-04-01,PHL,608,PHP,Philippines,65.0,1.23809523809524,52.5,2.46,26.422764227642276,-49.670925280681374
2003-04-01,PER,604,PEN,Peru,7.9,2.28323699421965,3.46,2.46,3.2113821138211383,-7.185488039851496
2003-04-01,TUR,792,TRY,Turkey,3750000.0,2.34301780693533,1600500.0,2.46,1524390.243902439,-4.755373701815746
2003-04-01,VEN,862,VEF,Venezuela,3700.0,2.3153942428035,1598.0,2.46,1504.0650406504064,-5.878282812865676
2003-04-01,EGY,818,EGP,Egypt,8.0,1.35135135135135,5.92,2.46,3.252032520325203,-45.06701823774995
2004-05-01,ARG,32,ARS,Argentina,4.36,1.47796610169492,2.95,2.47,1.7651821862348178,-40.16331572085363
2004-05-01,AUS,36,AUD,Australia,3.25,2.27272727272727,1.43,2.47,1.3157894736842104,-7.986750092013251
2004-05-01,BRA,76,BRL,Brazil,5.4,1.69811320754717,3.18,2.47,2.186234817813765,-31.2504774272401
2004-05-01,GBR,826,GBP,Britain,1.88,3.36519999925966,0.558659218,2.47,0.7611336032388663,36.242914949783625
