Date,Value
2000-01-31,75.25
2000-02-29,75.49
2000-03-31,75.72
2000-04-30,75.79
2000-05-31,75.88
2000-06-30,76.16
2000-07-31,76.26
2000-08-31,76.32
2000-09-30,76.63
2000-10-31,76.64
2000-11-30,76.8
2000-12-31,77.08
2001-01-31,76.76
2001-02-28,76.98
2001-03-31,77.39
2001-04-30,77.86
2001-05-31,78.22
2001-06-30,78.34
2001-07-31,78.16
2001-08-31,78.09
2001-09-30,78.3
2001-10-31,78.37
2001-11-30,78.32
2001-12-31,78.67
2002-01-31,78.67
2002-02-28,78.88
2002-03-31,79.33
2002-04-30,79.69
2002-05-31,79.83
2002-06-30,79.8
2002-07-31,79.72
2002-08-31,79.77
2002-09-30,79.97
2002-10-31,80.16
2002-11-30,80.1
2002-12-31,80.49
2003-01-31,80.42
2003-02-28,80.75
2003-03-31,81.21
2003-04-30,81.33
2003-05-31,81.28
2003-06-30,81.38
2003-07-31,81.26
2003-08-31,81.38
2003-09-30,81.67
2003-10-31,81.79
2003-11-30,81.83
2003-12-31,82.08
2004-01-31,81.88
2004-02-29,82.07
2004-03-31,82.59
2004-04-30,83.01
2004-05-31,83.27
2004-06-30,83.31
2004-07-31,83.13
2004-08-31,83.3
2004-09-30,83.4
2004-10-31,83.72
2004-11-30,83.66
2004-12-31,83.98
2005-01-31,83.45
2005-02-28,83.76
2005-03-31,84.38
2005-04-30,84.73
2005-05-31,84.92
2005-06-30,85.01
2005-07-31,84.91
2005-08-31,85.12
2005-09-30,85.56
2005-10-31,85.77
2005-11-30,85.58
2005-12-31,85.88
2006-01-31,85.48
2006-02-28,85.73
2006-03-31,86.22
2006-04-30,86.79
2006-05-31,87.03
2006-06-30,87.1
2006-07-31,86.99
2006-08-31,87.07
2006-09-30,87.07
2006-10-31,87.14
2006-11-30,87.17
2006-12-31,87.51
2007-01-31,87.06
2007-02-28,87.31
2007-03-31,87.89
2007-04-30,88.45
2007-05-31,88.66
2007-06-30,88.75
2007-07-31,88.53
2007-08-31,88.59
2007-09-30,88.92
2007-10-31,89.35
2007-11-30,89.83
2007-12-31,90.19
2008-01-31,89.85
2008-02-29,90.16
2008-03-31,91.05
2008-04-30,91.34
2008-05-31,91.91
2008-06-30,92.26
2008-07-31,92.12
2008-08-31,91.99
2008-09-30,92.16
2008-10-31,92.18
2008-11-30,91.74
2008-12-31,91.62
2009-01-31,90.85
2009-02-28,91.22
2009-03-31,91.57
2009-04-30,91.9
2009-05-31,91.94
2009-06-30,92.13
2009-07-31,91.52
2009-08-31,91.84
2009-09-30,91.86
2009-10-31,92.07
2009-11-30,92.18
2009-12-31,92.47
2010-01-31,91.71
2010-02-28,92.0
2010-03-31,93.02
2010-04-30,93.4
2010-05-31,93.5
2010-06-30,93.5
2010-07-31,93.1
2010-08-31,93.29
2010-09-30,93.57
2010-10-31,93.86
2010-11-30,93.94
2010-12-31,94.51
2011-01-31,93.83
2011-02-28,94.23
2011-03-31,95.5
2011-04-30,96.04
2011-05-31,96.04
2011-06-30,96.03
2011-07-31,95.48
2011-08-31,95.66
2011-09-30,96.36
2011-10-31,96.7
2011-11-30,96.79
2011-12-31,97.11
2012-01-31,96.32
2012-02-29,96.8
2012-03-31,98.06
2012-04-30,98.51
2012-05-31,98.38
2012-06-30,98.3
2012-07-31,97.79
2012-08-31,98.16
2012-09-30,98.88
2012-10-31,99.11
2012-11-30,98.91
2012-12-31,99.27
2013-01-31,98.23
2013-02-28,98.6
2013-03-31,99.76
2013-04-30,99.67
2013-05-31,99.78
2013-06-30,99.88
2013-07-31,99.35
2013-08-31,99.48
2013-09-30,99.96
2013-10-31,99.84
2013-11-30,99.76
2013-12-31,100.11
2014-01-31,98.99
2014-02-28,99.3
2014-03-31,100.23
2014-04-30,100.38
2014-05-31,100.27
2014-06-30,100.38
2014-07-31,99.72
2014-08-31,99.84
2014-09-30,100.28
2014-10-31,100.22
2014-11-30,100.04
2014-12-31,99.94
2015-01-31,98.4
2015-02-28,99.03
2015-03-31,100.15
2015-04-30,100.39
2015-05-31,100.61
2015-06-30,100.6
2015-07-31,99.96
2015-08-31,99.97
2015-09-30,100.19
2015-10-31,100.34
2015-11-30,100.19
2015-12-31,100.17
2016-01-31,98.73
2016-02-29,98.88
2016-03-31,100.1
2016-04-30,100.15
2016-05-31,100.51
2016-06-30,100.68
2016-07-31,100.12
2016-08-31,100.21
2016-09-30,100.6
2016-10-31,100.85
2016-11-30,100.76
2016-12-31,101.31
2017-01-31,100.46
2017-02-28,100.84
2017-03-31,101.65
2017-04-30,102.04
2017-05-31,101.92
2017-06-30,101.95
2017-07-31,101.44
2017-08-31,101.71
2017-09-30,102.14
2017-10-31,102.24
2017-11-30,102.31
2017-12-31,102.68
2018-01-31,101.78
2018-02-28,101.98
2018-03-31,103.01
2018-04-30,103.32
2018-05-31,103.83
2018-06-30,103.95
2018-07-31,103.61
2018-08-31,103.77
2018-09-30,104.25
2018-10-31,104.49
2018-11-30,104.3
2018-12-31,104.29
2019-01-31,102.97
2019-02-28,103.3
2019-03-31,104.35
2019-04-30,105.1
2019-05-31,105.24
2019-06-30,105.41
2019-07-31,104.91
2019-08-31,105.06
2019-09-30,105.29
2019-10-31,105.44
2019-11-30,105.1
2019-12-31,105.43
2020-01-31,104.37
2020-02-29,104.56
2020-03-31,105.13
2020-04-30,105.43
2020-05-31,105.33
2020-06-30,105.69
2020-07-31,105.32
2020-08-31,104.88
2020-09-30,104.96
2020-10-31,105.15
2020-11-30,104.8
2020-12-31,105.15
2021-01-31,105.32
2021-02-28,105.54
2021-03-31,106.53
2021-04-30,107.14
2021-05-31,107.42
2021-06-30,107.7
2021-07-31,107.6
2021-08-31,107.98
2021-09-30,108.49
2021-10-31,109.41
2021-11-30,109.9
2021-12-31,110.37
2022-01-31,110.7
2022-02-28,111.74
2022-03-31,114.46
2022-04-30,115.11
2022-05-31,116.07
2022-06-30,117.01
2022-07-31,117.14
2022-08-31,117.85
2022-09-30,119.26
2022-10-31,121.03
2022-11-30,120.95
2022-12-31,120.52
2023-01-31,120.27
2023-02-28,121.24
2023-03-31,122.34
2023-04-30,123.13
