Date,Value
2000-03-31,687.4
2000-06-30,692.2
2000-09-30,701.7
2000-12-31,709.8
2001-03-31,708.4
2001-06-30,714.6
2001-09-30,718.6
2001-12-31,722.7
2002-03-31,726.8
2002-06-30,734.2
2002-09-30,737.6
2002-12-31,742.4
2003-03-31,745.1
2003-06-30,745.1
2003-09-30,748.5
2003-12-31,753.9
2004-03-31,756.6
2004-06-30,762.7
2004-09-30,767.5
2004-12-31,774.3
2005-03-31,777.7
2005-06-30,784.4
2005-09-30,793.3
2005-12-31,798.7
2006-03-31,803.4
2006-06-30,815.7
2006-09-30,821.4
2006-12-31,819.7
2007-03-31,823.8
2007-06-30,832.0
2007-09-30,836.1
2007-12-31,845.8
2008-03-31,851.6
2008-06-30,865.4
2008-09-30,878.5
2008-12-31,874.4
2009-03-31,876.8
2009-06-30,881.7
2009-09-30,893.1
2009-12-31,891.5
2010-03-31,894.8
2010-06-30,896.4
2010-09-30,906.2
2010-12-31,927.4
2011-03-31,934.7
2011-06-30,943.7
2011-09-30,947.8
2011-12-31,944.5
2012-03-31,949.4
2012-06-30,952.7
2012-09-30,955.1
2012-12-31,953.5
2013-03-31,957.6
2013-06-30,959.2
2013-09-30,968.2
2013-12-31,969.0
2014-03-31,972.3
2014-06-30,974.7
2014-09-30,978.0
2014-12-31,976.3
2015-03-31,974.7
2015-06-30,978.8
2015-09-30,982.1
2015-12-31,977.2
2016-03-31,978.8
2016-06-30,982.9
2016-09-30,986.1
2016-12-31,990.2
2017-03-31,1000.0
2017-06-30,1000.0
2017-09-30,1004.9
2017-12-31,1006.0
2018-03-31,1011.0
2018-06-30,1015.0
2018-09-30,1024.0
2018-12-31,1025.0
2019-03-31,1026.0
2019-06-30,1032.0
2019-09-30,1039.0
2019-12-31,1044.0
2020-03-31,1052.0
2020-06-30,1047.0
2020-09-30,1054.0
2020-12-31,1059.0
2021-03-31,1068.0
2021-06-30,1082.0
2021-09-30,1106.0
2021-12-31,1122.0
2022-03-31,1142.0
2022-06-30,1161.0
2022-09-30,1186.0
2022-12-31,1203.0
2023-03-31,1218.0
