Date,Value
2000-01-31,-1.43
2000-02-29,-1.29
2000-03-31,-1.05
2000-04-30,-1.08
2000-05-31,-0.96
2000-06-30,-1.14
2000-07-31,-0.89
2000-08-31,-0.75
2000-09-30,-0.69
2000-10-31,-0.52
2000-11-30,-0.69
2000-12-31,-0.73
2001-01-31,-1.48
2001-02-28,-1.7
2001-03-31,-1.0
2001-04-30,-0.23
2001-05-31,0.23
2001-06-30,-0.32
2001-07-31,-1.07
2001-08-31,-1.2
2001-09-30,-1.14
2001-10-31,-1.74
2001-11-30,-1.58
2001-12-31,-1.54
2002-01-31,0.61
2002-02-28,4.02
2002-03-31,7.94
2002-04-30,18.37
2002-05-31,23.01
2002-06-30,28.41
2002-07-31,32.93
2002-08-31,36.54
2002-09-30,38.5
2002-10-31,39.42
2002-11-30,40.58
2002-12-31,40.93
2003-01-31,39.62
2003-02-28,36.13
2003-03-31,31.7
2003-04-30,19.37
2003-05-31,14.34
2003-06-30,10.24
2003-07-31,7.31
2003-08-31,4.87
2003-09-30,3.52
2003-10-31,3.91
2003-11-30,3.63
2003-12-31,3.67
2004-01-31,2.73
2004-02-29,2.26
2004-03-31,2.27
2004-04-30,3.1
2004-05-31,4.25
2004-06-30,4.92
2004-07-31,4.94
2004-08-31,5.28
2004-09-30,5.91
2004-10-31,5.69
2004-11-30,5.44
2004-12-31,6.09
2005-01-31,7.22
2005-02-28,8.14
2005-03-31,9.15
2005-04-30,8.75
2005-05-31,8.6
2005-06-30,9.0
2005-07-31,9.58
2005-08-31,9.69
2005-09-30,10.25
2005-10-31,10.69
2005-11-30,12.03
2005-12-31,12.33
2006-01-31,12.11
2006-02-28,11.48
2006-03-31,11.12
2006-04-30,11.65
2006-05-31,11.5
2006-06-30,11.02
2006-07-31,10.6
2006-08-31,10.73
2006-09-30,10.46
2006-10-31,10.53
2006-11-30,9.98
2006-12-31,9.84
2007-01-31,9.69
2007-02-28,9.6
2007-03-31,9.11
2007-04-30,8.87
2007-05-31,8.82
2007-06-30,8.77
2007-07-31,8.64
2007-08-31,8.67
2007-09-30,8.56
2007-10-31,8.37
2007-11-30,8.53
2007-12-31,8.47
2008-01-31,8.24
2008-02-29,8.42
2008-03-31,8.82
2008-04-30,8.91
2008-05-31,9.07
2008-06-30,9.28
2008-07-31,9.13
2008-08-31,9.0
2008-09-30,8.69
2008-10-31,8.42
2008-11-30,7.87
2008-12-31,7.24
2009-01-31,6.81
2009-02-28,6.77
2009-03-31,6.25
2009-04-30,5.73
2009-05-31,5.49
2009-06-30,5.27
2009-07-31,5.53
2009-08-31,5.91
2009-09-30,6.15
2009-10-31,6.54
2009-11-30,7.06
2009-12-31,7.69
2010-01-31,8.24
2010-02-28,9.12
2010-03-31,9.66
2010-04-30,10.21
2010-05-31,10.66
2010-06-30,11.0
2010-07-31,11.2
2010-08-31,11.1
2010-09-30,11.09
2010-10-31,11.13
2010-11-30,11.02
2010-12-31,10.92
2011-01-31,10.58
2011-02-28,10.02
2011-03-31,9.7
2011-04-30,9.71
2011-05-31,9.69
2011-06-30,9.67
2011-07-31,9.66
2011-08-31,9.77
2011-09-30,9.89
2011-10-31,9.66
2011-11-30,9.51
2011-12-31,9.51
2012-01-31,9.71
2012-02-29,9.71
2012-03-31,9.81
2012-04-30,9.81
2012-05-31,9.89
2012-06-30,9.9
2012-07-31,9.9
2012-08-31,9.96
2012-09-30,10.01
2012-10-31,10.24
2012-11-30,10.62
2012-12-31,10.84
2013-01-31,11.09
2013-02-28,10.82
2013-03-31,10.59
2013-04-30,10.47
2013-05-31,10.34
2013-06-30,10.46
2013-07-31,10.61
2013-08-31,10.55
2013-09-30,10.49
2013-10-31,10.55
2013-11-30,10.54
2013-12-31,10.95
