Date,Value
2000-01-31,1.85
2000-02-29,1.94
2000-03-31,1.93
2000-04-30,1.74
2000-05-31,1.73
2000-06-30,2.12
2000-07-31,2.01
2000-08-31,2.02
2000-09-30,2.5
2000-10-31,2.39
2000-11-30,2.49
2000-12-31,2.48
2001-01-31,2.01
2001-02-28,1.9
2001-03-31,2.19
2001-04-30,2.74
2001-05-31,3.12
2001-06-30,2.83
2001-07-31,2.55
2001-08-31,2.35
2001-09-30,2.16
2001-10-31,2.25
2001-11-30,1.97
2001-12-31,2.05
2002-01-31,2.61
2002-02-28,2.52
2002-03-31,2.5
2002-04-30,2.3
2002-05-31,2.02
2002-06-30,1.92
2002-07-31,2.02
2002-08-31,2.12
2002-09-30,2.1
2002-10-31,2.3
2002-11-30,2.29
2002-12-31,2.28
2003-01-31,2.1
2003-02-28,2.37
2003-03-31,2.45
2003-04-30,2.08
2003-05-31,1.81
2003-06-30,1.89
2003-07-31,1.9
2003-08-31,2.07
2003-09-30,2.16
2003-10-31,1.97
2003-11-30,2.15
2003-12-31,1.97
2004-01-31,1.88
2004-02-29,1.61
2004-03-31,1.67
2004-04-30,2.04
2004-05-31,2.47
2004-06-30,2.38
2004-07-31,2.29
2004-08-31,2.3
2004-09-30,2.11
2004-10-31,2.37
2004-11-30,2.2
2004-12-31,2.36
2005-01-31,1.93
2005-02-28,2.1
2005-03-31,2.09
2005-04-30,2.08
2005-05-31,1.99
2005-06-30,2.07
2005-07-31,2.17
2005-08-31,2.24
2005-09-30,2.59
2005-10-31,2.5
2005-11-30,2.32
2005-12-31,2.22
2006-01-31,2.39
2006-02-28,2.33
2006-03-31,2.23
2006-04-30,2.46
2006-05-31,2.48
2006-06-30,2.48
2006-07-31,2.43
2006-08-31,2.26
2006-09-30,1.75
2006-10-31,1.56
2006-11-30,1.87
2006-12-31,1.92
2007-01-31,1.84
2007-02-28,1.84
2007-03-31,1.94
2007-04-30,1.91
2007-05-31,1.87
2007-06-30,1.89
2007-07-31,1.78
2007-08-31,1.75
2007-09-30,2.14
2007-10-31,2.55
2007-11-30,3.06
2007-12-31,3.07
2008-01-31,3.21
2008-02-29,3.27
2008-03-31,3.58
2008-04-30,3.26
2008-05-31,3.67
2008-06-30,3.96
2008-07-31,4.05
2008-08-31,3.84
2008-09-30,3.64
2008-10-31,3.16
2008-11-30,2.12
2008-12-31,1.58
2009-01-31,1.12
2009-02-28,1.18
2009-03-31,0.57
2009-04-30,0.61
2009-05-31,0.04
2009-06-30,-0.15
2009-07-31,-0.65
2009-08-31,-0.17
2009-09-30,-0.33
2009-10-31,-0.13
2009-11-30,0.48
2009-12-31,0.93
2010-01-31,0.94
2010-02-28,0.85
2010-03-31,1.59
2010-04-30,1.64
2010-05-31,1.69
2010-06-30,1.49
2010-07-31,1.73
2010-08-31,1.58
2010-09-30,1.88
2010-10-31,1.95
2010-11-30,1.92
2010-12-31,2.21
2011-01-31,2.32
2011-02-28,2.43
2011-03-31,2.68
2011-04-30,2.83
2011-05-31,2.72
2011-06-30,2.72
2011-07-31,2.55
2011-08-31,2.55
2011-09-30,2.99
2011-10-31,3.04
2011-11-30,3.04
2011-12-31,2.75
2012-01-31,2.65
2012-02-29,2.73
2012-03-31,2.68
2012-04-30,2.57
2012-05-31,2.44
