Date,Value
2000-01-31,2.739
2000-02-29,3.222
2000-03-31,3.758
2000-04-30,3.069
2000-05-31,3.189
2000-06-30,3.73
2000-07-31,3.659
2000-08-31,3.411
2000-09-30,3.454
2000-10-31,3.448
2000-11-30,3.446
2000-12-31,3.387
2001-01-31,3.732
2001-02-28,3.534
2001-03-31,2.921
2001-04-30,3.269
2001-05-31,3.615
2001-06-30,3.248
2001-07-31,2.72
2001-08-31,2.72
2001-09-30,2.648
2001-10-31,2.126
2001-11-30,1.895
2001-12-31,1.552
2002-01-31,1.142
2002-02-28,1.138
2002-03-31,1.476
2002-04-30,1.639
2002-05-31,1.182
2002-06-30,1.067
2002-07-31,1.465
2002-08-31,1.803
2002-09-30,1.514
2002-10-31,2.026
2002-11-30,2.198
2002-12-31,2.377
2003-01-31,2.597
2003-02-28,2.981
2003-03-31,3.02
2003-04-30,2.225
2003-05-31,2.058
2003-06-30,2.112
2003-07-31,2.11
2003-08-31,2.158
2003-09-30,2.32
2003-10-31,2.041
2003-11-30,1.765
2003-12-31,1.879
2004-01-31,1.926
2004-02-29,1.693
2004-03-31,1.737
2004-04-30,2.285
2004-05-31,3.052
2004-06-30,3.266
2004-07-31,2.991
2004-08-31,2.654
2004-09-30,2.538
2004-10-31,3.189
2004-11-30,3.523
2004-12-31,3.256
2005-01-31,2.97
2005-02-28,3.008
2005-03-31,3.148
2005-04-30,3.511
2005-05-31,2.803
2005-06-30,2.53
2005-07-31,3.168
2005-08-31,3.641
2005-09-30,4.687
2005-10-31,4.348
2005-11-30,3.455
2005-12-31,3.416
2006-01-31,3.985
2006-02-28,3.597
2006-03-31,3.363
2006-04-30,3.546
2006-05-31,4.167
2006-06-30,4.319
2006-07-31,4.145
2006-08-31,3.819
2006-09-30,2.062
2006-10-31,1.305
2006-11-30,1.974
2006-12-31,2.541
2007-01-31,2.076
2007-02-28,2.415
2007-03-31,2.779
2007-04-30,2.574
2007-05-31,2.691
2007-06-30,2.687
2007-07-31,2.358
2007-08-31,1.97
2007-09-30,2.755
2007-10-31,3.536
2007-11-30,4.306
2007-12-31,4.081
2008-01-31,4.28
2008-02-29,4.027
2008-03-31,3.981
2008-04-30,3.937
2008-05-31,4.176
2008-06-30,5.022
2008-07-31,5.6
2008-08-31,5.372
2008-09-30,4.937
2008-10-31,3.655
2008-11-30,1.07
2008-12-31,0.091
2009-01-31,0.03
2009-02-28,0.236
2009-03-31,-0.384
2009-04-30,-0.737
2009-05-31,-1.281
2009-06-30,-1.427
2009-07-31,-2.097
2009-08-31,-1.484
2009-09-30,-1.286
2009-10-31,-0.183
2009-11-30,1.838
2009-12-31,2.721
2010-01-31,2.626
2010-02-28,2.143
2010-03-31,2.314
2010-04-30,2.236
2010-05-31,2.021
2010-06-30,1.053
2010-07-31,1.235
2010-08-31,1.148
2010-09-30,1.144
2010-10-31,1.172
2010-11-30,1.143
2010-12-31,1.496
2011-01-31,1.632
2011-02-28,2.108
2011-03-31,2.682
2011-04-30,3.164
2011-05-31,3.569
2011-06-30,3.559
2011-07-31,3.629
2011-08-31,3.771
2011-09-30,3.868
2011-10-31,3.525
2011-11-30,3.394
2011-12-31,2.962
2012-01-31,2.925
2012-02-29,2.871
2012-03-31,2.651
2012-04-30,2.303
2012-05-31,1.704
2012-06-30,1.664
2012-07-31,1.408
2012-08-31,1.692
2012-09-30,1.991
2012-10-31,2.162
2012-11-30,1.764
2012-12-31,1.741
2013-01-31,1.595
2013-02-28,1.978
2013-03-31,1.474
2013-04-30,1.063
2013-05-31,1.362
2013-06-30,1.754
2013-07-31,1.961
2013-08-31,1.518
2013-09-30,1.185
2013-10-31,0.964
2013-11-30,1.237
2013-12-31,1.502
2014-01-31,1.579
2014-02-28,1.126
2014-03-31,1.512
2014-04-30,1.953
2014-05-31,2.127
2014-06-30,2.072
2014-07-31,1.992
2014-08-31,1.7
2014-09-30,1.658
2014-10-31,1.664
2014-11-30,1.322
2014-12-31,0.756
2015-01-31,-0.089
2015-02-28,-0.025
2015-03-31,-0.074
2015-04-30,-0.2
2015-05-31,-0.04
2015-06-30,0.124
2015-07-31,0.17
2015-08-31,0.195
2015-09-30,-0.036
2015-10-31,0.171
2015-11-30,0.502
2015-12-31,0.73
2016-01-31,1.373
2016-02-29,1.018
2016-03-31,0.853
2016-04-30,1.125
2016-05-31,1.022
2016-06-30,1.006
2016-07-31,0.835
2016-08-31,1.063
2016-09-30,1.464
2016-10-31,1.636
2016-11-30,1.693
2016-12-31,2.075
2017-01-31,2.5
2017-02-28,2.738
2017-03-31,2.381
2017-04-30,2.2
2017-05-31,1.872
2017-06-30,1.625
2017-07-31,1.72
2017-08-31,1.939
2017-09-30,2.233
2017-10-31,2.041
2017-11-30,2.203
2017-12-31,2.109
2018-01-31,2.071
2018-02-28,2.212
2018-03-31,2.36
2018-04-30,2.463
2018-05-31,2.801
2018-06-30,2.872
2018-07-31,2.95
2018-08-31,2.699
2018-09-30,2.277
2018-10-31,2.522
2018-11-30,2.177
2018-12-31,1.91
2019-01-31,1.551
2019-02-28,1.52
2019-03-31,1.863
2019-04-30,1.996
2019-05-31,1.79
2019-06-30,1.648
2019-07-31,1.811
2019-08-31,1.75
2019-09-30,1.711
2019-10-31,1.764
2019-11-30,2.051
2019-12-31,2.285
2020-01-31,2.487
2020-02-29,2.335
2020-03-31,1.539
2020-04-30,0.329
2020-05-31,0.118
2020-06-30,0.646
2020-07-31,0.986
2020-08-31,1.31
2020-09-30,1.371
2020-10-31,1.182
2020-11-30,1.175
2020-12-31,1.362
2021-01-31,1.4
2021-02-28,1.676
2021-03-31,2.62
2021-04-30,4.16
2021-05-31,4.993
2021-06-30,5.391
2021-07-31,5.365
2021-08-31,5.251
2021-09-30,5.39
2021-10-31,6.222
2021-11-30,6.809
2021-12-31,7.036
2022-01-31,7.48
2022-02-28,7.871
2022-03-31,8.542
2022-04-30,8.259
2022-05-31,8.582
2022-06-30,9.06
2022-07-31,8.525
2022-08-31,8.263
2022-09-30,8.202
2022-10-31,7.745
2022-11-30,7.11
2022-12-31,6.454
2023-01-31,6.41
2023-02-28,6.036
2023-03-31,4.985
2023-04-30,4.93
